MSSubClass,LotArea,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtUnfSF,TotalBsmtSF,Heating,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,GarageCars,GarageArea,WoodDeckSF,YrSold,SalePrice
50,159000,ClearCr,6,7,1958,2006,747,1444,GasA,1444,700,2144,2,7,2,389,0,2007,277000.00
30,5350,BrkSide,3,2,1940,1966,728,728,GasA,1306,0,1306,1,6,0,0,263,2010,76500.00
120,4750,Crawfor,8,5,2006,2007,0,1573,GasA,1625,0,1625,2,5,2,538,123,2007,235000.00
60,8366,SawyerW,6,5,2004,2004,798,798,GasA,798,842,1640,2,6,2,520,138,2008,173000.00
80,9350,NAmes,6,7,1964,1991,452,1302,GasA,1302,0,1302,2,7,1,309,333,2007,158000.00
20,8400,NAmes,5,6,1957,1957,392,1314,GasA,1314,0,1314,1,5,1,294,250,2010,145000.00
60,8738,Gilbert,7,5,1999,1999,975,975,GasA,1005,1286,2291,2,8,2,429,192,2006,230000.00
60,8791,Somerst,6,5,2003,2003,361,864,GasA,864,864,1728,2,7,2,673,216,2008,207500.00
20,8814,CollgCr,7,5,2006,2006,270,1604,GasA,1604,0,1604,2,8,2,660,123,2009,220000.00
60,12435,CollgCr,7,5,2001,2001,602,963,GasA,963,829,1792,2,7,2,564,0,2008,231500.00
20,12702,OldTown,5,5,1956,1956,0,0,GasA,882,0,882,1,4,1,308,0,2008,97000.00
80,19296,NAmes,6,5,1962,1962,0,1362,GasA,1382,0,1382,1,6,2,884,0,2009,176000.00
60,9588,CollgCr,8,5,2007,2007,1482,1482,GasA,1482,1092,2574,2,10,3,868,0,2007,276000.00
80,8471,Sawyer,6,7,1977,1995,0,506,GasA,1212,0,1212,1,6,2,492,292,2006,151000.00
50,5500,OldTown,5,7,1929,2001,0,926,GasA,926,0,1316,1,6,2,484,0,2010,130000.00
30,5232,OldTown,5,5,1925,2004,680,680,GasA,764,0,764,1,4,2,504,0,2008,73000.00
20,12090,NWAmes,6,6,1981,1981,606,1422,GasA,1422,0,1422,2,7,2,576,276,2008,175500.00
60,11207,Gilbert,6,5,1997,1997,88,802,GasA,802,709,1511,2,8,2,413,95,2006,185000.00
75,8400,SWISU,5,8,1939,1997,342,720,GasA,1052,720,2192,2,8,1,240,262,2008,179500.00
30,6900,IDOTRR,5,6,1940,1955,212,740,GasA,778,0,778,1,4,1,924,0,2008,120500.00
20,7917,Edwards,6,7,1976,1976,392,1143,GasA,1113,0,1113,1,6,1,504,370,2007,148000.00
60,10728,Somerst,8,5,2006,2006,1095,1095,GasA,1095,844,1939,2,8,3,1053,192,2006,266000.00
20,39104,ClearCr,7,7,1954,2005,96,1385,GasA,1363,0,1363,1,5,2,439,81,2008,241500.00
60,11764,NoRidge,8,7,1999,2007,628,1152,GasA,1164,1106,2270,2,9,3,671,132,2010,290000.00
20,9600,NAmes,6,6,1958,1988,0,1240,GasA,1632,0,1632,2,6,1,338,289,2009,139000.00
20,8314,Mitchel,5,7,1982,1982,270,816,GasA,816,0,816,1,5,1,264,168,2007,124500.00
50,7264,BrkSide,7,7,1925,2007,952,952,GasW,952,596,1548,2,5,2,672,74,2009,205000.00
20,9196,Mitchel,7,5,2003,2003,1560,1560,GasA,1560,0,1560,2,7,2,573,100,2010,201000.00
20,19138,Gilbert,4,5,1951,1951,744,864,GasA,864,0,864,1,4,2,400,0,2010,141000.00
20,14450,NridgHt,9,5,2006,2007,2121,2121,GasA,2121,0,2121,2,8,3,732,124,2007,415298.00
60,10005,ClearCr,7,5,1977,1977,768,1160,GasA,1156,866,2022,2,8,2,505,288,2008,192000.00
60,11287,SawyerW,7,6,1989,1989,386,807,GasA,1175,807,1982,2,7,2,575,0,2007,228500.00
20,7200,Somerst,6,5,2006,2006,357,1262,GasA,1262,0,1262,2,5,2,572,0,2006,185000.00
120,5063,NridgHt,7,5,2007,2008,410,1314,GasA,1314,0,1314,2,6,2,626,172,2009,207500.00
20,9612,Somerst,8,5,2008,2009,1468,1468,GasA,1468,0,1468,2,6,3,898,210,2009,244600.00
120,8012,SawyerW,6,5,1992,1992,1145,1575,GasA,1575,0,1575,2,5,2,529,0,2007,179200.00
160,4251,Somerst,7,5,2006,2007,625,625,GasA,625,625,1250,2,5,2,528,0,2007,164700.00
50,9786,NAmes,6,7,1962,1981,312,912,GasA,1085,649,1734,1,7,2,440,0,2006,159000.00
20,8125,NAmes,4,4,1971,1971,244,858,GasA,858,0,858,1,5,0,0,0,2006,88000.00
20,9819,Sawyer,5,5,1967,1967,432,882,GasA,900,0,900,1,5,1,280,0,2010,122000.00
70,8730,BrkSide,6,7,1915,2003,698,698,GasA,698,698,1396,1,7,1,384,0,2007,153575.00
60,15611,CollgCr,8,5,2006,2006,1079,1079,GasA,1079,840,1919,2,8,2,685,0,2006,233230.00
190,5687,SWISU,5,6,1912,2000,570,780,GasA,936,780,1716,2,9,0,0,0,2008,135900.00
50,11409,Edwards,5,4,1949,2008,476,768,GasA,1148,568,1716,1,8,1,281,0,2009,131000.00
60,16659,NWAmes,7,7,1977,1994,0,795,GasA,1468,795,2263,2,9,2,539,0,2006,235000.00
20,9600,NAmes,6,5,1953,1953,131,1416,GasA,1644,0,1644,1,7,2,418,110,2009,167000.00
80,7937,Mitchel,6,6,1984,1984,184,1003,GasA,1003,0,1003,1,6,2,588,120,2006,142500.00
50,13710,IDOTRR,5,5,1950,1950,490,910,GasA,910,648,1558,1,6,1,282,289,2007,152000.00
60,7399,Somerst,7,5,1997,1998,326,975,GasA,975,975,1950,2,7,2,576,0,2007,239000.00
60,11700,NWAmes,6,6,1968,1968,143,702,GasA,1041,702,1743,1,7,2,539,224,2007,175000.00
20,14000,Crawfor,6,8,1950,2004,1092,1092,GasA,1152,0,1152,1,6,1,300,0,2009,158500.00
190,15750,Crawfor,5,5,1953,1953,324,1165,GasA,1336,0,1336,1,5,1,375,0,2006,157000.00
60,16226,CollgCr,8,5,1998,1999,747,1028,GasA,1210,1242,2452,2,9,2,683,208,2007,267000.00
20,13704,CollgCr,7,5,2001,2002,1541,1541,GasA,1541,0,1541,2,6,3,843,468,2006,205000.00
20,9800,CollgCr,5,7,1972,1972,0,894,GasA,894,0,894,1,5,2,552,256,2006,149900.00
75,18386,OldTown,7,9,1880,2002,1470,1470,GasA,1675,1818,3493,3,10,3,870,302,2008,295000.00
20,10386,CollgCr,8,5,2004,2005,536,2000,GasA,2000,0,2000,2,8,3,888,168,2007,305900.00
60,13474,SawyerW,7,5,1990,1991,0,700,GasA,1122,1121,2243,2,8,3,746,127,2007,225000.00
50,7920,IDOTRR,6,7,1920,1950,319,319,GasA,1035,371,1406,1,6,0,0,0,2008,89500.00
30,12342,Edwards,4,5,1940,1950,599,861,GasA,861,0,861,1,4,2,539,158,2009,82500.00
20,12378,NridgHt,9,5,2003,2004,622,1896,GasA,1944,0,1944,2,8,3,708,208,2006,360000.00
60,7685,Gilbert,6,5,1993,1994,179,697,GasA,697,804,1501,2,6,2,420,190,2006,165600.00
20,8000,NAmes,6,6,1948,2002,292,972,GasA,972,0,972,1,5,1,240,0,2009,132000.00
190,7800,OldTown,5,7,1939,1950,286,793,GasA,793,325,1118,1,5,2,410,0,2006,119900.00
20,215245,Timber,7,5,1965,1965,80,2136,GasW,2036,0,2036,2,8,2,513,0,2009,375000.00
70,9600,OldTown,7,7,1925,1990,712,728,GasA,832,809,1641,1,6,2,546,0,2006,178000.00
60,7795,Gilbert,7,5,2004,2005,291,716,GasA,716,716,1432,2,6,2,432,100,2009,188500.00
60,13005,NWAmes,7,7,1980,1980,153,845,GasA,1153,1200,2353,2,10,2,484,288,2009,260000.00
60,9000,Somerst,8,5,2006,2006,1088,1088,GasA,1088,871,1959,2,8,3,1025,208,2007,270000.00
60,9900,NoRidge,7,5,1993,1993,360,1347,GasA,1372,1274,2646,2,9,3,656,340,2009,260000.00
80,14115,NWAmes,7,5,1980,1980,336,1372,GasA,1472,0,1472,2,6,2,588,233,2009,187500.00
60,16259,NridgHt,9,5,2006,2006,1249,1249,GasA,1249,1347,2596,3,9,3,840,240,2006,342643.00
60,12099,NridgHt,8,5,2004,2004,166,1136,GasA,1136,1332,2468,2,10,3,872,184,2007,354000.00
60,10380,SawyerW,7,5,1986,1987,0,1502,GasA,1553,1177,2730,2,8,2,576,201,2007,301000.00
20,5820,OldTown,3,8,1955,2005,906,1162,GasA,1163,0,1163,1,6,1,220,142,2006,126175.00
80,11275,NAmes,7,7,1967,2007,710,710,GasA,1898,1080,2978,2,11,2,564,240,2010,242000.00
45,5000,IDOTRR,5,6,1941,1950,604,720,GasA,803,0,803,1,5,2,360,0,2007,87000.00
120,10846,Veenker,8,5,1993,1993,100,1719,GasA,1719,0,1719,1,6,2,473,122,2008,324000.00
20,11600,NAmes,6,5,1960,1960,818,1383,GasA,1383,0,1383,1,7,1,292,0,2006,145250.00
75,11888,BrkSide,6,6,1916,1994,844,844,GasA,1445,689,2134,2,10,2,441,0,2009,214500.00
70,6402,IDOTRR,5,5,1920,1950,596,596,GasA,596,596,1192,1,6,1,189,0,2009,78000.00
90,10624,NAmes,5,4,1964,1964,1424,1728,GasA,1728,0,1728,2,10,1,352,155,2007,119000.00
20,8176,NAmes,5,6,1958,1992,210,1056,GasA,1056,0,1056,1,6,1,308,0,2007,139000.00
20,10655,NridgHt,8,5,2003,2004,1603,3206,GasA,1629,0,1629,2,7,3,880,0,2009,284000.00
120,8198,NridgHt,7,5,2004,2004,638,1358,GasA,1358,0,1358,2,6,2,484,192,2008,207000.00
60,9042,Gilbert,6,5,1998,1998,115,943,GasA,943,695,1638,2,7,2,472,100,2008,192000.00
190,164660,Timber,5,6,1965,1965,103,1499,GasA,1619,167,1786,2,7,2,529,670,2008,228950.00
20,14157,StoneBr,9,5,2005,2006,673,1922,GasA,1922,0,1922,2,8,3,676,178,2007,377426.00
20,9135,CollgCr,7,5,2002,2003,726,1536,GasA,1536,0,1536,2,7,2,532,192,2008,214000.00
20,14145,NWAmes,7,7,1984,1998,995,1208,GasA,1621,0,1621,2,8,2,440,108,2006,202500.00
20,12400,NAmes,6,7,1958,1998,630,1215,GasA,1215,0,1215,1,6,1,297,0,2009,155000.00
60,14191,Timber,8,5,2002,2002,967,967,GasA,993,915,1908,2,9,2,431,135,2010,202900.00
20,8400,SawyerW,4,4,1950,1950,721,721,GasA,841,0,841,1,4,1,294,250,2009,82000.00
90,8544,NAmes,3,4,1949,1950,0,0,Wall,1040,0,1040,2,6,2,400,0,2006,87500.00
120,8849,NridgHt,9,5,2005,2005,1656,1684,GasA,1684,0,1684,2,6,2,564,495,2008,266000.00
160,2592,MeadowV,5,3,1976,1976,175,536,GasA,536,576,1112,1,4,1,336,182,2010,85000.00
50,6435,BrkSide,6,5,1939,1950,972,972,GasA,972,605,1577,1,6,1,312,0,2006,140200.00
20,12772,NAmes,6,8,1960,1998,460,958,GasA,958,0,958,1,5,1,301,0,2007,151500.00
20,17600,NAmes,6,5,1960,1960,208,1478,GasA,1478,0,1478,2,6,2,498,0,2009,157500.00
160,2448,NridgHt,7,5,2003,2004,191,764,GasA,764,862,1626,2,6,2,474,0,2008,154000.00
60,20431,NridgHt,9,5,2005,2006,438,1848,GasA,1848,880,2728,2,10,3,706,0,2006,437154.00
120,7820,NridgHt,9,5,2007,2007,1869,1869,GasA,1869,0,1869,2,6,2,617,210,2007,318061.00
120,5271,ClearCr,7,5,1986,1986,371,1453,GasA,1453,0,1453,1,6,2,445,0,2006,190000.00
50,9084,Edwards,5,6,1941,1950,0,616,GasA,616,495,1111,1,5,1,200,48,2008,95000.00
30,8520,OldTown,6,8,1928,2003,624,624,GasA,720,0,720,1,5,2,484,106,2010,105900.00
50,8400,SWISU,6,5,1940,2000,552,940,GasA,1192,403,1595,1,6,1,240,0,2006,140000.00
20,11249,CollgCr,6,5,1995,1995,322,1200,GasA,1200,0,1200,2,6,2,521,0,2007,177500.00
20,9248,Gilbert,6,6,1992,1992,598,1158,GasA,1167,0,1167,2,6,2,400,120,2009,173000.00
120,4224,MeadowV,5,5,1976,1976,268,1142,GasA,1142,0,1142,1,6,2,528,536,2007,134000.00
80,6930,ClearCr,5,4,1958,1958,468,1062,GasA,1352,0,1352,1,6,1,288,168,2006,130000.00
60,12011,NoRidge,8,5,1998,1998,130,1086,GasA,1086,838,1924,2,7,2,592,208,2006,280000.00
85,7540,Mitchel,6,6,1978,1978,115,888,GasA,912,0,912,1,5,2,470,0,2007,156000.00
50,9144,BrkSide,5,5,1940,1982,484,883,GasA,988,517,1505,1,8,1,240,0,2008,145000.00
85,7301,Edwards,7,5,2003,2003,0,0,GasA,495,1427,1922,3,7,2,672,0,2009,198500.00
160,1680,BrDale,6,8,1972,2007,321,483,GasA,483,504,987,1,5,1,264,250,2009,118000.00
60,18800,NWAmes,6,5,1976,1976,84,796,GasA,790,784,1574,2,6,2,566,306,2006,190000.00
70,10690,IDOTRR,5,7,1920,1997,216,672,GasA,672,672,1344,1,6,1,468,0,2009,147000.00
20,9500,NAmes,6,5,1963,1963,785,1394,GasA,1394,0,1394,1,6,2,514,0,2009,159000.00
80,9150,NAmes,6,5,1962,1962,728,1099,GasA,1431,0,1431,1,6,1,296,64,2008,165000.00
20,7800,NAmes,5,6,1954,1954,728,1268,GasA,1268,0,1268,1,7,1,244,0,2010,132000.00
20,9830,NAmes,5,7,1959,2006,733,1063,GasA,1287,0,1287,1,7,2,576,364,2010,162000.00
60,8121,Gilbert,6,5,2000,2000,953,953,GasA,953,711,1664,2,7,2,460,100,2006,172400.00
50,17120,ClearCr,4,4,1959,1959,0,0,GasA,1120,468,1588,2,7,2,680,0,2008,134432.00
120,7175,SawyerW,6,5,1984,1984,0,744,GasA,752,0,752,1,4,1,264,353,2010,125000.00
20,10634,NAmes,5,6,1953,1953,0,608,GasA,1319,0,1319,1,5,1,270,66,2009,123000.00
60,8200,CollgCr,7,5,2003,2004,847,847,GasA,847,1081,1928,2,8,2,434,100,2007,219500.00
30,10020,Edwards,1,1,1922,1950,333,683,GasA,904,0,904,0,4,0,0,0,2009,61000.00
85,8846,CollgCr,5,5,1996,1996,572,870,GasA,914,0,914,1,5,2,576,0,2006,148000.00
60,11143,Somerst,8,5,2004,2005,1580,1580,GasA,1580,886,2466,3,8,2,610,159,2007,340000.00
20,11394,StoneBr,9,2,2010,2010,411,1856,GasA,1856,0,1856,1,8,3,834,113,2010,394432.00
60,8123,Gilbert,6,5,2000,2000,982,982,GasA,1007,793,1800,2,7,2,463,100,2009,179000.00
50,5000,SWISU,5,6,1924,1950,808,1026,GasA,1026,665,1691,2,6,1,308,0,2010,127000.00
20,7200,Somerst,7,5,2006,2006,1293,1293,GasA,1301,0,1301,2,5,2,572,216,2006,187750.00
60,9245,CollgCr,7,5,2006,2006,939,939,GasA,939,858,1797,2,8,2,639,144,2007,213500.00
45,9000,SawyerW,6,3,1928,1950,784,784,GasA,784,0,784,1,5,2,360,0,2009,76000.00
60,53107,ClearCr,6,5,1992,1992,595,1580,GasA,1079,874,1953,2,9,2,501,216,2007,240000.00
120,3182,Blmngtn,8,5,2004,2005,1232,1256,GasA,1269,0,1269,2,6,2,430,146,2010,192000.00
50,8410,Edwards,5,3,1910,1996,658,658,GasA,658,526,1184,1,8,0,0,0,2006,81000.00
80,7200,Edwards,6,6,1976,1976,410,1041,GasA,1125,0,1125,1,6,1,352,296,2009,125000.00
20,9382,CollgCr,7,5,1999,2000,1468,1468,GasA,1479,0,1479,2,6,2,577,120,2008,191000.00
60,12474,NridgHt,10,5,2007,2008,402,1682,GasA,1742,590,2332,2,9,3,846,196,2008,426000.00
50,8405,Edwards,5,8,1900,1950,229,861,GasA,961,406,1367,1,7,1,384,0,2008,119000.00
60,12209,Mitchel,6,5,2001,2002,114,804,GasA,804,1157,1961,2,7,2,560,125,2009,215000.00
20,8339,NAmes,5,7,1959,1959,0,0,GasA,882,0,882,1,5,1,294,0,2007,106500.00
30,7446,BrkSide,4,5,1941,1950,522,788,GasA,788,0,788,1,4,0,0,0,2006,100000.00
50,10134,OldTown,5,6,1940,1950,735,735,GasA,735,299,1034,1,5,1,240,0,2007,109000.00
20,9571,Edwards,5,6,1956,1956,405,1144,GasA,1144,0,1144,1,6,1,596,44,2010,129000.00
20,7200,CollgCr,5,5,1972,1972,117,894,GasA,894,0,894,1,6,2,600,215,2009,123000.00
60,7590,NAmes,5,5,1962,1962,324,864,GasA,876,936,1812,2,8,1,264,0,2007,169500.00
30,8967,IDOTRR,5,2,1920,1950,961,961,GasA,1077,0,1077,1,6,1,338,0,2007,67000.00
60,8125,Somerst,7,5,2006,2007,280,1092,GasA,1112,438,1550,2,7,2,438,0,2009,241000.00
120,14963,Veenker,8,5,1996,1996,474,1260,GasA,1288,0,1288,1,4,2,500,120,2008,245500.00
20,8767,CollgCr,7,5,2005,2005,1286,1310,GasA,1310,0,1310,2,6,2,400,0,2006,164990.00
30,10200,Sawyer,5,8,1940,1997,672,672,GasA,672,0,672,1,4,1,240,168,2008,108000.00
60,12090,NoRidge,8,5,1998,1998,1141,1141,GasA,1165,1098,2263,2,10,2,420,144,2006,258000.00
60,10364,Gilbert,6,5,1995,1996,806,806,GasA,806,766,1572,2,7,2,373,0,2007,168000.00
20,9991,Sawyer,4,4,1976,1993,165,1281,GasA,1620,0,1620,2,8,2,490,120,2009,150000.00
50,10480,SWISU,6,5,1936,1950,1064,1064,GasA,1166,0,1639,1,6,1,240,0,2008,115000.00
70,15576,Crawfor,6,7,1915,1976,840,840,GasA,840,840,1680,2,8,1,308,0,2008,177000.00
60,14154,NridgHt,7,5,2006,2006,1063,1063,GasA,1071,1101,2172,2,9,3,947,192,2007,280000.00
60,10800,Somerst,8,5,2007,2008,245,1034,GasA,1050,1028,2078,2,8,3,836,0,2008,339750.00
20,9571,Edwards,5,3,1958,1958,1276,1276,GasA,1276,0,1276,1,5,1,350,0,2009,60000.00
190,34650,Gilbert,5,5,1955,1955,0,1056,GasA,1056,0,1056,1,5,2,572,264,2006,145000.00
20,4403,Somerst,7,5,2009,2009,892,1470,GasA,1478,0,1478,2,7,2,484,0,2010,222000.00
30,8960,OldTown,5,6,1927,1950,1008,1008,GasA,1028,0,1028,1,5,2,360,0,2010,115000.00
60,11228,SawyerW,7,5,1993,1993,499,1080,GasA,1080,1017,2097,2,9,3,678,196,2008,228000.00
20,8899,Gilbert,7,5,2007,2007,1316,1340,GasA,1340,0,1340,2,6,2,396,100,2007,181134.00
60,7844,Sawyer,6,7,1978,1978,463,672,GasA,672,728,1400,1,6,2,440,0,2006,149500.00
70,22420,Crawfor,6,6,1918,1950,242,1370,GasW,1370,1254,2624,2,10,3,864,0,2007,239000.00
50,8160,Edwards,5,6,1940,1950,444,756,GasA,756,378,1134,1,7,1,240,0,2007,126000.00
20,8450,NAmes,5,6,1968,1968,281,1056,GasA,1056,0,1056,1,6,1,304,0,2010,142000.00
90,7060,Mitchel,7,5,1997,1998,35,1344,GasA,1344,0,1344,2,8,4,784,0,2008,206300.00
20,16635,NWAmes,6,7,1977,2000,356,1602,GasA,1602,0,1602,2,8,2,529,240,2009,215000.00
20,21750,Mitchel,5,5,1954,1954,988,988,GasA,988,0,988,1,4,2,520,0,2008,113000.00
60,9200,NoRidge,8,5,1998,1998,484,1470,GasA,1470,1160,2630,2,8,3,696,0,2008,315000.00
20,9000,NAmes,6,5,1956,1956,580,1196,GasA,1196,0,1196,1,6,1,297,0,2008,139000.00
60,3378,OldTown,7,8,1946,1992,651,651,GasA,707,682,1389,1,6,1,240,0,2009,135000.00
80,12800,SawyerW,7,5,1989,1989,0,1518,GasA,1644,0,1644,2,5,2,569,80,2009,275000.00
20,8593,NAmes,4,6,1957,1957,619,907,GasA,907,0,907,1,5,1,352,0,2008,109008.00
20,6762,CollgCr,7,5,2007,2007,544,1208,GasA,1208,0,1208,2,6,2,628,105,2007,195400.00
20,11457,Timber,6,5,1988,1988,387,1392,GasA,1412,0,1412,2,6,2,576,0,2009,175000.00
160,1680,BrDale,6,5,1971,1971,96,483,GasA,483,504,987,1,4,1,264,0,2008,85400.00
50,5586,OldTown,6,7,1920,1998,901,901,GasA,1088,110,1198,1,7,0,0,0,2008,79900.00
160,1920,BrDale,5,5,1971,1971,294,765,GasA,765,600,1365,1,6,2,440,240,2007,122500.00
60,10839,Gilbert,6,5,1997,1998,926,926,GasA,926,678,1604,2,7,2,470,0,2008,181000.00
180,1890,MeadowV,4,7,1972,1972,135,630,GasA,630,0,630,1,3,0,0,88,2008,81000.00
60,10667,CollgCr,7,6,1996,1996,70,799,GasA,827,834,1661,2,6,2,550,158,2009,212000.00
50,4400,OldTown,6,8,1920,1950,648,648,GasA,734,384,1118,1,6,2,440,0,2006,116000.00
45,6000,BrkSide,6,7,1926,2004,884,884,GasA,904,0,904,1,4,1,180,0,2009,119000.00
30,4280,Crawfor,5,6,1913,2002,75,440,GasA,694,0,694,1,4,1,352,0,2007,90350.00
50,12354,Edwards,6,8,1920,2000,684,684,GasA,684,512,1196,1,7,2,528,0,2009,110000.00
20,15431,NridgHt,10,5,2008,2008,788,3094,GasA,2402,0,2402,2,10,3,672,0,2009,555000.00
90,12108,Edwards,4,4,1955,1955,1307,1440,GasA,1440,0,1440,2,8,0,0,0,2008,118000.00
50,6240,BrkSide,5,7,1930,1992,1078,1078,GasA,1128,445,1573,2,8,2,360,0,2008,162900.00
120,3922,Blmngtn,7,5,2006,2007,1258,1258,GasA,1258,0,1258,2,6,3,648,144,2007,172500.00
60,8750,CollgCr,7,5,1994,1995,273,915,GasA,933,975,1908,2,8,2,493,144,2008,210000.00
20,9855,Edwards,6,5,1956,1956,1436,1436,GasA,1689,0,1689,1,7,2,480,0,2009,127500.00
20,16492,NAmes,6,6,1966,2002,557,1517,GasA,1888,0,1888,2,6,2,578,0,2010,190000.00
60,11214,Gilbert,7,5,1998,1999,930,930,GasA,956,930,1886,2,10,2,431,89,2006,199900.00
50,8600,IDOTRR,6,6,1937,1950,780,780,GasA,780,596,1376,2,7,1,198,0,2006,119500.00
50,6000,OldTown,3,7,1948,2002,318,649,GasA,679,504,1183,1,6,1,308,0,2007,120000.00
30,5684,OldTown,6,8,1930,2005,813,813,GasA,813,0,813,1,5,1,270,0,2006,110000.00
20,70761,ClearCr,7,5,1975,1975,878,1533,GasA,1533,0,1533,2,5,2,576,200,2006,280000.00
60,9303,Timber,6,5,1996,1997,130,872,GasA,888,868,1756,2,7,2,422,144,2007,204000.00
60,9000,Somerst,8,5,2008,2008,768,768,GasA,786,804,1590,2,6,2,676,0,2009,210000.00
90,9297,Mitchel,5,5,1976,1976,122,1728,GasA,1728,0,1728,2,8,2,560,0,2006,188000.00
20,9600,NWAmes,7,6,1973,1973,326,1242,GasA,1242,0,1242,1,6,2,528,0,2007,175500.00
70,4571,OldTown,5,5,1916,1950,624,624,GasA,624,720,1344,1,7,3,513,0,2008,98000.00
20,53227,ClearCr,4,6,1954,1994,248,1364,GasA,1663,0,1663,1,6,2,529,224,2008,256000.00
70,5100,OldTown,8,7,1925,1996,588,588,GasA,833,833,1666,1,7,1,228,192,2008,161000.00
50,7015,BrkSide,5,4,1950,1950,524,709,GasA,979,224,1203,1,5,1,352,0,2009,110000.00
60,8004,Somerst,8,5,2009,2009,288,832,GasA,832,1103,1935,2,8,2,552,0,2009,263435.00
70,7200,SWISU,7,9,1936,2007,0,560,GasA,575,560,1135,1,6,2,576,256,2009,155000.00
20,8281,Sawyer,5,5,1965,1965,0,864,GasA,864,0,864,1,5,1,360,0,2009,62383.00
70,11988,Crawfor,6,7,1934,1995,389,715,GasA,849,811,1660,1,6,1,240,0,2008,188700.00
20,8430,CollgCr,5,5,1978,1978,424,1040,GasA,1040,0,1040,2,5,0,0,0,2009,124000.00
120,3072,Blmngtn,7,5,2004,2004,1375,1375,GasA,1414,0,1414,2,6,2,398,144,2006,178740.00
20,10628,NAmes,7,5,1970,1970,499,1277,GasA,1277,0,1277,1,5,2,526,0,2007,167000.00
70,9480,NAmes,5,7,1942,1995,342,728,GasA,888,756,1644,1,7,1,312,168,2007,146500.00
20,11428,NridgHt,8,5,2006,2006,1626,1626,GasA,1634,0,1634,2,7,3,866,0,2007,250000.00
60,9291,SawyerW,6,5,1993,1993,406,832,GasA,832,878,1710,2,7,2,506,144,2008,187000.00
120,6820,StoneBr,8,5,1985,1985,0,1488,GasA,1502,0,1502,1,4,2,528,0,2010,212000.00
60,11952,NWAmes,7,6,1977,1977,808,808,GasA,1161,808,1969,2,8,2,534,0,2007,190000.00
180,3675,Edwards,6,5,2005,2005,88,547,GasA,1072,0,1072,1,5,2,525,0,2008,148000.00
20,14977,NridgHt,8,5,2006,2007,626,1976,GasA,1976,0,1976,2,7,3,908,250,2007,440000.00
120,5330,StoneBr,8,5,2000,2000,298,1494,GasA,1652,0,1652,2,6,2,499,96,2007,251000.00
20,8480,Sawyer,5,6,1963,1963,340,970,GasA,970,0,970,1,5,2,624,0,2007,132500.00
20,13125,CollgCr,6,5,1997,1998,484,1478,GasA,1493,0,1493,2,7,2,508,140,2008,208900.00
60,13693,NridgHt,9,5,2006,2006,2153,2153,GasA,2069,574,2643,2,9,3,694,414,2007,380000.00
20,10637,CollgCr,8,5,2007,2008,417,1705,GasA,1718,0,1718,2,7,3,826,208,2009,297000.00
30,5925,OldTown,4,7,1937,2000,739,907,GasA,1131,0,1131,1,7,2,672,0,2007,89471.00
20,16033,NridgHt,9,5,2004,2005,572,1833,GasA,1850,0,1850,2,8,3,772,519,2006,326000.00
20,11846,NridgHt,9,5,2003,2004,225,1792,GasA,1792,0,1792,2,6,3,874,206,2006,374000.00
70,2500,OldTown,7,8,1915,2005,611,910,GasA,916,910,1826,1,7,1,164,0,2009,155000.00
120,4500,Mitchel,6,5,1998,1998,319,1216,GasA,1216,0,1216,2,5,2,402,0,2006,164000.00
20,7758,Sawyer,5,7,1962,2001,411,999,GasA,999,0,999,1,6,1,264,0,2007,132500.00
20,9600,NAmes,5,7,1950,2007,506,1113,GasA,1113,0,1113,1,5,1,264,0,2009,147000.00
20,10289,NAmes,5,7,1965,1965,237,1073,GasA,1073,0,1073,1,6,2,515,0,2007,156000.00
20,12243,NWAmes,5,6,1971,1971,486,1484,GasA,1484,0,1484,2,7,2,487,224,2007,175000.00
190,10800,OldTown,5,4,1900,1970,290,954,GasA,1766,648,2414,2,10,2,520,142,2006,160000.00
180,1526,MeadowV,4,8,1970,2002,115,630,GasA,630,0,630,1,3,1,286,0,2009,86000.00
160,2665,MeadowV,5,6,1976,1976,264,264,GasA,616,688,1304,1,4,1,336,141,2008,115000.00
50,9490,NAmes,6,7,1941,1950,238,806,GasA,958,620,1578,1,5,1,240,0,2006,133000.00
60,15578,Gilbert,6,5,2006,2006,728,728,GasA,728,728,1456,2,8,2,429,0,2006,172785.00
20,7931,NAmes,5,6,1960,1960,363,1269,GasA,1269,0,1269,1,6,1,308,0,2008,155000.00
30,5784,OldTown,5,8,1938,1996,190,190,GasA,886,0,886,1,4,1,273,144,2009,91300.00
30,7879,IDOTRR,4,5,1920,1950,225,720,GasA,720,0,720,1,4,0,0,0,2009,34900.00
20,12692,NoRidge,8,5,1992,1993,1969,3200,GasA,3228,0,3228,3,10,2,546,264,2007,430000.00
50,9120,BrkSide,7,6,1925,1950,697,1026,GasA,1133,687,1820,2,8,1,240,0,2008,184000.00
20,7800,Sawyer,5,7,1967,2004,414,864,GasA,899,0,899,1,5,1,288,64,2009,130000.00
20,7535,NAmes,5,7,1958,1985,522,912,GasA,912,0,912,1,5,1,297,12,2007,120000.00
160,1890,BrDale,6,5,1973,1973,316,672,GasA,672,546,1218,1,7,1,264,144,2007,113000.00
